w,h,m,ask,bid,spread,volume
2,23,31,1243.76,1259.99,16.230000000000018,3198.6606042
2,23,32,1243.77,1259.97,16.200000000000045,3292.57317067
2,23,33,1243.77,1256.0,12.230000000000018,3293.87807067
2,23,34,1243.77,1256.0,12.230000000000018,3295.29309741
2,23,35,1244.0,1260.0,16.0,3297.16694667
2,23,36,1244.81,1268.97,24.160000000000082,3332.18463629
2,23,37,1244.82,1268.79,23.970000000000027,3316.15436583
2,23,38,1244.8,1268.7,23.90000000000009,3309.11617143
2,23,39,1244.83,1268.0,23.170000000000073,3307.85246531
2,23,40,1245.01,1267.0,21.99000000000001,3306.18784161
2,23,41,1245.01,1262.99,17.980000000000018,3306.41859966
2,23,42,1245.01,1259.99,14.980000000000018,3303.32765827
2,23,43,1245.02,1259.0,13.980000000000018,3299.45454403
2,23,44,1243.75,1250.0,6.25,3291.99816174
2,23,45,1244.0,1248.98,4.980000000000018,3286.53602778
2,23,46,1245.0,1248.99,3.990000000000009,3287.9012992
2,23,47,1244.01,1248.99,4.980000000000018,3288.06183723
2,23,48,1243.75,1244.01,0.2599999999999909,3285.51593337
2,23,49,1237.0,1240.0,3.0,3284.7411227
2,23,50,1235.01,1240.0,4.990000000000009,3283.02449989
2,23,51,1234.0,1240.0,6.0,3287.58243486
2,23,52,1234.0,1240.0,6.0,3287.42012732
2,23,53,1234.0,1240.0,6.0,3282.48701128
2,23,54,1234.01,1257.99,23.980000000000018,3275.06089943
2,23,55,1238.0,1258.75,20.75,3285.77216422
2,23,56,1238.0,1258.69,20.690000000000055,3245.52294184
2,23,57,1238.0,1258.78,20.779999999999973,3245.50541803
2,23,58,1240.0,1257.98,17.980000000000018,3244.7275847
2,23,59,1240.02,1255.99,15.970000000000027,3244.71760899
3,00,00,1240.04,1253.0,12.960000000000036,3243.65052695
3,00,01,1241.0,1253.0,12.0,3242.52468218
3,00,02,1241.0,1253.0,12.0,3237.88964281
3,00,03,1241.0,1253.0,12.0,3237.71964281
3,00,04,1250.0,1253.0,3.0,3232.87585377
3,00,05,1250.0,1253.0,3.0,3222.81985877
3,00,06,1250.0,1254.75,4.75,3223.71291543
3,00,07,1239.0,1240.01,1.009999999999991,3220.34148968
3,00,08,1238.03,1240.01,1.9800000000000182,3220.65524357
3,00,09,1238.03,1240.01,1.9800000000000182,3199.01168493
3,00,10,1238.03,1240.01,1.9800000000000182,3199.05518493
3,00,11,1238.03,1240.01,1.9800000000000182,3199.69024173
3,00,12,1238.03,1240.0,1.9700000000000273,3198.75179783
3,00,13,1238.03,1240.0,1.9700000000000273,3197.48179783
3,00,15,1238.03,1240.01,1.9800000000000182,3198.70252186
3,00,16,1233.0,1240.0,7.0,3201.02331788
3,00,17,1233.0,1240.01,7.009999999999991,3193.55219416
3,00,18,1228.0,1240.01,12.009999999999991,3194.69366769
3,00,19,1229.1,1240.01,10.910000000000082,3194.69366769
3,00,20,1230.0,1240.01,10.009999999999991,3194.69366769
3,00,21,1230.0,1240.01,10.009999999999991,3193.14248659
3,00,22,1230.0,1240.01,10.009999999999991,3191.39751834
3,00,23,1230.0,1240.01,10.009999999999991,3184.29439565
3,00,24,1230.0,1239.99,9.990000000000009,3161.16066326
3,00,25,1230.0,1240.01,10.009999999999991,3155.18492632
3,00,26,1230.0,1240.01,10.009999999999991,3154.88492632
3,00,27,1231.01,1240.01,9.0,3147.82906623
3,00,28,1231.01,1240.01,9.0,3130.47625785
3,00,29,1231.01,1240.01,9.0,3131.01983847
3,00,30,1246.0,1252.97,6.970000000000027,3130.55338295
3,00,31,1240.01,1246.0,5.990000000000009,3130.15774919
3,00,32,1240.02,1254.65,14.63000000000011,3126.92683052
3,00,33,1240.02,1254.72,14.700000000000045,3128.17385695
3,00,34,1229.0,1240.02,11.019999999999982,3137.72381782
3,00,35,1229.01,1240.02,11.009999999999991,3137.87347016
3,00,36,1227.0,1239.99,12.990000000000009,3137.73347016
